名詞,名詞数,動詞,動詞数,形容詞,形容詞数
写真,62,認める,66.0,雑い,21.0
国家,48,書く,208.0,もどかしい,1.0
月給,4,乗り出す,3.0,心地良い,8.0
据え置き,5,減る,98.0,えげつない,3.0
曲,38,疲れる,138.0,狡い,10.0
説明,125,防ぐ,36.0,せこい,13.0
為,488,為さる,59.0,冷たい,25.0
ミズシマ,2,呼ぶ,126.0,危うい,11.0
僧,1,もぎる,1.0,だだっ広い,1.0
ミャンマー-Myanmar,6,冷える,20.0,後ろめたい,4.0
年,268,禿げる,10.0,厚い,28.0
姉,139,関する,27.0,罪深い,4.0
ナカイ,4,間違う,85.0,空しい,20.0
キイチ,3,払う,55.0,吝い,1.0
レンタル-rental,11,歪む,25.0,痛ましい,3.0
文字,51,買い与える,2.0,うざい,24.0
派,3,与える,61.0,痛々しい,5.0
サタデー-Saturday,7,ぶれる,8.0,気安い,2.0
ナイト-night,4,従う,38.0,苦しい,27.0
フィーバー-fever,1,寝る,245.0,やんごとない,6.0
奴,927,対する,194.0,恐れ多い,3.0
隙,34,投げる,13.0,グロい,16.0
脳,103,走る,18.0,痒い,16.0
味噌,53,売る,88.0,厳つい,8.0
代替,5,枯れる,13.0,力無い,3.0
テキスト-text,10,届く,32.0,汚らしい,2.0
謎,204,至る,29.0,浅ましい,2.0
機種,2,引っこ抜く,3.0,はしたない,3.0
依存,12,切る,153.0,臭い,18.0
マナー-manner,18,つく,267.0,丸い,8.0
皆,767,騙す,29.0,相応しい,6.0
口座,11,動く,35.0,瑞々しい,3.0
万,66,逃げる,68.0,明るい,22.0
円-助数詞,94,語る,39.0,揺るぎない,2.0
ラブ-love,40,嵌まる,78.0,忙しい,13.0
ストーリー-story,41,劣る,3.0,羨ましい,3.0
世の中,176,変える,99.0,苛なし,5.0
男女,18,謝る,47.0,鋭い,9.0
恋愛,48,突く,131.0,華々しい,1.0
ヒップ-hip,17,競う,2.0,軽々しい,2.0
ホップ-hop（草）,17,上げる,161.0,奥床しい,2.0
グループ-group,30,絡む,39.0,極まりない,6.0
ソング-song,14,びびる,49.0,気恥ずかしい,1.0
バラード-ballade,3,滑る,19.0,輝かしい,1.0
人気,43,受け取る,45.0,貧しい,14.0
ヨシムラ,7,立ち上がる,6.0,黄色い,5.0
マツイ,3,笑う,209.0,親しい,4.0
ハシモト,24,当てる,10.0,古めかしい,1.0
仕舞い,43,際立つ,1.0,さもしい,2.0
死刑,16,見上げる,6.0,疎い,2.0
理由,106,敵う,4.0,著しい,3.0
顔,226,呉れる,407.0,生々しい,4.0
今日,357,借りる,24.0,男臭い,2.0
最新,22,出会う,13.0,薄汚い,4.0
水曜,14,澄ます,2.0,生温かい,1.0
時間,279,慣れる,32.0,情けない,3.0
流れ,25,上がる,85.0,卑しい,6.0
認識,133,耐える,98.0,だらし無い,10.0
蝶,13,驚く,39.0,切ない,14.0
苦手,235,覚える,85.0,固い,17.0
警察,141,弁える,23.0,あざとい,1.0
学校,56,困る,194.0,か弱い,2.0
時期,63,悩む,23.0,心強い,5.0
一緒,79,履く,37.0,ふてぶてしい,2.0
月,146,詰まる,57.0,好ましい,6.0
問題,369,食う,294.0,忝い,2.0
週刊,32,売り切れる,5.0,厳い,1.0
少年,20,混む,19.0,後ろ暗い,8.0
ジャンプ-jump,39,伏せる,25.0,濃い,12.0
漫画,181,出す,348.0,若々しい,2.0
長期,7,操る,2.0,嫌らしい,2.0
連載,40,隠れる,68.0,青白い,1.0
作中,22,落ち着く,46.0,侘しい,1.0
所為,254,続ける,174.0,甘ったるい,5.0
勝手,121,偏る,16.0,軟らかい,2.0
イマジナリー-imaginary,16,分かれる,6.0,塩辛い,1.0
家族,152,話す,104.0,まどろっこしい,1.0
設定,67,作る,365.0,喧しい,2.0
結婚,85,集まる,7.0,紛らわしい,1.0
主人,46,飛び付く,3.0,丸っこい,1.0
駄目,509,見下す,30.0,四角い,2.0
年齢,51,擽る,2.0,眩しい,5.0
女,332,訛る,7.0,薄暗い,2.0
大体,107,募る,6.0,物珍しい,1.0
夫,51,押さえる,28.0,快い,5.0
筈,208,怒る,114.0,手酷い,1.0
確率,8,利く,53.0,疑わしい,3.0
営業,21,突き込む,30.0,涙ぐましい,2.0
トーク-talk,11,好む,18.0,緩い,30.0
感覚,109,願う,58.0,拙い,1.0
ＰＣ,1,残る,63.0,渋い,9.0
一人,117,吐く,83.0,生易しい,1.0
家具,4,締める,19.0,仰々しい,3.0
買い,13,くっ付く,53.0,息苦しい,9.0
奥,9,送る,51.0,晴れがましい,1.0
子,202,向かう,52.0,手強い,3.0
後,580,開く,30.0,どぎつい,1.0
独身,7,聞こえる,28.0,荒っぽい,4.0
シマ,258,読み解く,4.0,ナウい,3.0
二人,80,増える,98.0,誇らしい,6.0
店員,15,行う,29.0,悔しい,4.0
間,106,広がる,19.0,鈍い,4.0
マットレス-mattress,1,戻す,29.0,しおらしい,3.0
黴,6,止まる,37.0,しょぼい,5.0
イブキ,201,引っ掛かる,44.0,歯痒い,1.0
ショック-shock,36,向き合う,50.0,生温い,6.0
今,704,垂れる,7.0,泥臭い,2.0
直,3,変わる,149.0,重苦しい,3.0
ベッド-bed,6,決まる,52.0,回りくどい,3.0
引っ越し,12,言わす,8.0,惜しみ無い,1.0
楽,62,宥める,1.0,憂い,4.0
彼是,10,過ごす,22.0,麗しい,5.0
物色,1,飲み込む,18.0,濃ゆい,2.0
キング-king,14,疑う,54.0,太い,3.0
値段,26,訴え掛ける,1.0,凹い,1.0
以上,99,響く,18.0,愛しい,3.0
息吹き,37,蹴る,16.0,柔らかい,5.0
説,30,吊る,28.0,柔い,1.0
劇中,16,黙る,50.0,甘ちょろい,2.0
半ば,6,許す,197.0,烏滸がましい,2.0
風貌,2,読み返す,20.0,とろい,1.0
アヤ,10,貰う,283.0,仲睦まじい,2.0
壕,19,掛かる,109.0,淡い,3.0
世界,258,離す,9.0,根深い,1.0
造作,2,経つ,74.0,力強い,3.0
衣装,9,熟す,13.0,口汚い,1.0
洋服,8,撓う,1.0,薄っぺらい,2.0
こだわり,7,戸惑う,7.0,ほろ苦い,1.0
鞄,26,喜ぶ,82.0,洒落臭い,1.0
時計,35,打ち解ける,4.0,心許ない,1.0
スポーツ-sport,85,かちあう,4.0,疑り深い,1.0
ウエア-wear,10,償う,6.0,狂おしい,1.0
指,32,働く,169.0,愛らしい,1.0
無理,471,途切れる,3.0,甘酸っぱい,1.0
セクハラ-sexual harassment,19,繋がる,42.0,めぼしい,1.0
現実,127,辿る,3.0,しょっぱい,4.0
結果,79,惚れる,10.0,待ち遠しい,1.0
別,483,流れる,51.0,幼い,3.0
製品,6,消える,38.0,如何わしい,2.0
セパレート-separate,1,付ける,256.0,面白おかしい,2.0
中,324,重ねる,7.0,生臭い,1.0
半分,16,飛ぶ,41.0,初い,2.0
カオス-chaos,16,飲む,184.0,口惜しい,1.0
大名,4,存ずる,4.0,狡賢い,1.0
小鼻,1,付く,179.0,堆い,1.0
マスク-mask,195,着倒す,5.0,慎ましい,2.0
気,1025,ずれる,35.0,儚い,4.0
職場,135,沸く,28.0,空々しい,1.0
伯父,336,微笑む,3.0,きな臭い,2.0
鼻柱,1,差し出す,14.0,逞しい,2.0
傷,42,生む,27.0,小賢しい,9.0
本人,138,継ぐ,13.0,悪賢い,1.0
面倒,139,裏切る,7.0,危なっかしい,1.0
否定,122,見逃す,8.0,煙い,3.0
御座形,1,求める,227.0,しがない,2.0
状態,122,のさばる,18.0,汗臭い,1.0
鍵,64,詰める,18.0,恨みがましい,2.0
絶対,139,ばれる,30.0,どす黒い,2.0
バージョン-version,5,堪える,7.0,眩い,1.0
